iter	RMSE
0	0.3651587623
1	0.3430064588
2	0.320817675
3	0.3013620821
4	0.2856938462
5	0.2696720278
6	0.2543644178
7	0.2418277551
8	0.2306830564
9	0.2205210819
10	0.2115709728
11	0.205136579
12	0.1975775306
13	0.1912210499
14	0.1850020687
15	0.1792369169
16	0.173884533
17	0.1701764507
18	0.1662662247
19	0.1624580906
20	0.1592851228
21	0.1564105469
22	0.1535652091
23	0.1511990851
24	0.1492519067
25	0.1464652945
26	0.1451857215
27	0.1434130322
28	0.142114689
29	0.1404086913
30	0.1390537779
31	0.1377970929
32	0.1359512347
33	0.1345033353
34	0.1329599921
35	0.1316658929
36	0.1303380127
37	0.1291381737
38	0.1282663955
39	0.1273038327
40	0.1267912586
41	0.1259171988
42	0.1253912737
43	0.1243257558
44	0.1231895436
45	0.1220116777
46	0.1213441731
47	0.1204450214
48	0.1198820573
49	0.1195554765
50	0.1192403836
51	0.1187300338
52	0.1179591145
53	0.1172260329
54	0.116928046
55	0.1166814817
56	0.1162812342
57	0.1159170032
58	0.115405317
59	0.1149849904
60	0.1146960139
61	0.1143526495
62	0.1140059621
63	0.1133061146
64	0.1130901079
65	0.1128130532
66	0.1124726722
67	0.1119296966
68	0.1116331183
69	0.1112715114
70	0.1109067493
71	0.1105165623
72	0.1101335614
73	0.109674821
74	0.109267292
75	0.1087520686
76	0.1082905672
77	0.1079719622
78	0.1076539573
79	0.1071790302
80	0.1066974953
81	0.1066054831
82	0.1063463789
83	0.106152219
84	0.1057403166
85	0.1056533888
86	0.1053899949
87	0.1052609977
88	0.1050074348
89	0.1047279757
90	0.1044816789
91	0.1041294858
92	0.1039015444
93	0.1035547879
94	0.1034078028
95	0.1029011956
96	0.1028075376
97	0.1025232496
98	0.1024209662
99	0.1020485176
