iter	Passed	Remaining
0	875	86649
1	926	45414
2	956	30940
3	986	23687
4	1034	19657
5	1084	16996
6	1123	14930
7	1145	13174
8	1185	11987
9	1215	10937
10	1260	10201
11	1270	9316
12	1289	8632
13	1313	8067
14	1336	7572
15	1360	7140
16	1383	6752
17	1406	6406
18	1430	6096
19	1453	5812
20	1476	5553
21	1499	5317
22	1527	5115
23	1546	4896
24	1569	4708
25	1593	4535
26	1609	4351
27	1631	4194
28	1643	4023
29	1669	3896
30	1683	3746
31	1703	3620
32	1730	3514
33	1754	3405
34	1777	3300
35	1800	3201
36	1824	3106
37	1847	3014
38	1871	2926
39	1902	2853
40	1925	2770
41	1948	2691
42	1972	2614
43	1995	2539
44	2019	2467
45	2041	2397
46	2065	2329
47	2088	2262
48	2104	2190
49	2113	2113
50	2134	2050
51	2157	1991
52	2181	1934
53	2197	1872
54	2211	1809
55	2226	1749
56	2240	1690
57	2256	1633
58	2271	1578
59	2294	1529
60	2309	1476
61	2333	1429
62	2356	1384
63	2367	1331
64	2387	1285
65	2409	1241
66	2432	1198
67	2456	1155
68	2479	1113
69	2502	1072
70	2534	1035
71	2549	991
72	2572	951
73	2587	909
74	2611	870
75	2634	831
76	2657	793
77	2681	756
78	2712	721
79	2735	683
80	2759	647
81	2782	610
82	2805	574
83	2817	536
84	2835	500
85	2859	465
86	2878	430
87	2896	394
88	2920	360
89	2934	326
90	2950	291
91	2964	257
92	2979	224
93	3011	192
94	3042	160
95	3057	127
96	3096	95
97	3157	64
98	3169	32
99	3182	0
