MSZoning,Street,Alley,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FullBath,KitchenQual,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageCond,MiscFeature,SaleType,SaleCondition,GrLivArea_Log,1stFlrSF_Log,SalePrice_Log
RL,Pave,None,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,PConc,Gd,856.0,GasA,Ex,Y,SBrkr,2,Gd,None,Attchd,2003.0,RFn,2.0,TA,None,WD,Normal,7.444248649496705,6.752270376141742,12.247694320220994
RL,Pave,None,FR2,Veenker,Feedr,Norm,1Fam,1Story,6,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,CBlock,Gd,1262.0,GasA,Ex,Y,SBrkr,2,TA,TA,Attchd,1976.0,RFn,2.0,TA,None,WD,Normal,7.140453043101158,7.140453043101158,12.109010932687042
RL,Pave,None,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,PConc,Gd,920.0,GasA,Ex,Y,SBrkr,2,Gd,TA,Attchd,2001.0,RFn,2.0,TA,None,WD,Normal,7.487733761436444,6.824373670043086,12.31716669303576
RL,Pave,None,Corner,Crawfor,Norm,Norm,1Fam,2Story,7,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,BrkTil,TA,756.0,GasA,Gd,Y,SBrkr,1,Gd,Gd,Detchd,1998.0,Unf,3.0,TA,None,WD,Abnorml,7.448333860897476,6.8679744089702925,11.84939770159144
RL,Pave,None,FR2,NoRidge,Norm,Norm,1Fam,2Story,8,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,PConc,Gd,1145.0,GasA,Ex,Y,SBrkr,2,Gd,TA,Attchd,2000.0,RFn,3.0,TA,None,WD,Normal,7.6953031349635665,7.0431599159883405,12.429216196844383
RL,Pave,None,Inside,Mitchel,Norm,Norm,1Fam,1.5Fin,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Wood,Gd,796.0,GasA,Ex,Y,SBrkr,1,TA,None,Attchd,1993.0,Unf,2.0,TA,Shed,WD,Normal,7.216709486709457,6.679599185844383,11.870599909242044
RL,Pave,None,Inside,Somerst,Norm,Norm,1Fam,1Story,8,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,PConc,Ex,1686.0,GasA,Ex,Y,SBrkr,2,Gd,Gd,Attchd,2004.0,RFn,2.0,TA,None,WD,Normal,7.434847875211999,7.434847875211999,12.634603026569334
RL,Pave,None,Corner,NWAmes,PosN,Norm,1Fam,2Story,7,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,CBlock,Gd,1107.0,GasA,Ex,Y,SBrkr,2,TA,TA,Attchd,1973.0,RFn,2.0,TA,Shed,WD,Normal,7.644919344958857,7.009408932708637,12.206072645530174
RM,Pave,None,Inside,OldTown,Artery,Norm,1Fam,1.5Fin,7,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,BrkTil,TA,952.0,GasA,Gd,Y,FuseF,2,TA,TA,Detchd,1931.0,Unf,2.0,TA,None,WD,Abnorml,7.480992162869525,6.92951677076365,11.77452020265869
RL,Pave,None,Corner,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,BrkTil,TA,991.0,GasA,Ex,Y,SBrkr,1,TA,TA,Attchd,1939.0,RFn,1.0,TA,None,WD,Normal,6.981934677156389,6.981934677156389,11.678439903447801
RL,Pave,None,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,CBlock,TA,1040.0,GasA,Ex,Y,SBrkr,1,TA,None,Detchd,1965.0,Unf,1.0,TA,None,WD,Normal,6.946975992135418,6.946975992135418,11.771436160121729
RL,Pave,None,Inside,NridgHt,Norm,Norm,1Fam,2Story,9,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,PConc,Ex,1175.0,GasA,Ex,Y,SBrkr,3,Ex,Gd,BuiltIn,2005.0,Fin,3.0,TA,None,New,Partial,7.751045117971802,7.074963197966044,12.751299696013497
RL,Pave,None,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,CBlock,TA,912.0,GasA,TA,Y,SBrkr,1,TA,None,Detchd,1962.0,Unf,1.0,TA,None,WD,Normal,6.815639990074331,6.815639990074331,11.877568578558138
RL,Pave,None,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,PConc,Gd,1494.0,GasA,Ex,Y,SBrkr,2,Gd,Gd,Attchd,2006.0,RFn,3.0,TA,None,New,Partial,7.309212365692763,7.309212365692763,12.540757571577291
RL,Pave,None,Corner,NAmes,Norm,Norm,1Fam,1Story,6,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,CBlock,TA,1253.0,GasA,TA,Y,SBrkr,1,TA,Fa,Attchd,1960.0,RFn,1.0,TA,None,WD,Normal,7.133295954896068,7.133295954896068,11.964001084330445
RM,Pave,None,Corner,BrkSide,Norm,Norm,1Fam,1.5Unf,7,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,BrkTil,TA,832.0,GasA,Ex,Y,FuseA,1,TA,None,Detchd,1991.0,Unf,2.0,TA,None,WD,Normal,6.74993119378857,6.74993119378857,11.790557201568507
RL,Pave,None,CulDSac,NAmes,Norm,Norm,1Fam,1Story,6,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,CBlock,TA,1004.0,GasA,Ex,Y,SBrkr,1,TA,TA,Attchd,1970.0,Fin,2.0,TA,Shed,WD,Normal,6.911747300251674,6.911747300251674,11.911701584927597
RL,Pave,None,Inside,Sawyer,Norm,Norm,Duplex,1Story,4,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Slab,None,0.0,GasA,TA,Y,SBrkr,2,TA,None,CarPort,1967.0,Unf,2.0,TA,Shed,WD,Normal,7.16703787691222,7.16703787691222,11.407564949312402
RL,Pave,None,Inside,SawyerW,RRAe,Norm,1Fam,1Story,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,PConc,TA,1114.0,GasA,Ex,Y,SBrkr,1,Gd,None,Detchd,2004.0,Unf,2.0,TA,None,WD,Normal,7.01571242048723,7.01571242048723,11.976659481202368
RL,Pave,None,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,CBlock,TA,1029.0,GasA,TA,Y,SBrkr,1,TA,None,Attchd,1958.0,Unf,1.0,TA,None,COD,Abnorml,7.199678345691172,7.199678345691172,11.842229212112828
RL,Pave,None,Corner,NridgHt,Norm,Norm,1Fam,2Story,8,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,PConc,Ex,1158.0,GasA,Ex,Y,SBrkr,3,Gd,Gd,BuiltIn,2005.0,RFn,3.0,TA,None,New,Partial,7.773173680482536,7.05444965813294,12.692503112461443
RM,Pave,Grvl,Inside,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,PConc,TA,637.0,GasA,Ex,Y,FuseF,1,Gd,Gd,Attchd,1930.0,Unf,1.0,TA,None,WD,Normal,7.010311867307229,7.010311867307229,11.845102777308561
RL,Pave,None,Inside,CollgCr,Norm,Norm,1Fam,1Story,8,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,PConc,Gd,1777.0,GasA,Ex,Y,SBrkr,2,Gd,Gd,Attchd,2002.0,RFn,2.0,TA,None,WD,Normal,7.492760300922379,7.492760300922379,12.345834587905333
RM,Pave,None,Inside,MeadowV,Norm,Norm,TwnhsE,1Story,5,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,PConc,Gd,1040.0,GasA,TA,Y,SBrkr,1,TA,TA,Attchd,1976.0,Unf,2.0,TA,None,WD,Normal,6.966024187106113,6.966024187106113,11.77452020265869
RL,Pave,None,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,CBlock,TA,1060.0,GasA,Ex,Y,SBrkr,1,Gd,TA,Attchd,1968.0,Unf,1.0,TA,None,WD,Normal,6.966024187106113,6.966024187106113,11.944707881395766
RL,Pave,None,Corner,NridgHt,Norm,Norm,1Fam,1Story,8,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,PConc,Gd,1566.0,GasA,Ex,Y,SBrkr,2,Gd,Gd,Attchd,2007.0,RFn,3.0,TA,None,WD,Normal,7.3777589082278725,7.3777589082278725,12.454103912352162
RL,Pave,None,Corner,NAmes,Norm,Norm,1Fam,1Story,5,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,TA,900.0,GasA,TA,Y,SBrkr,1,Gd,None,Detchd,2005.0,Unf,2.0,TA,None,WD,Normal,6.802394763324311,6.802394763324311,11.811547477460344
RL,Pave,None,Inside,NridgHt,Norm,Norm,1Fam,1Story,8,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,PConc,Ex,1704.0,GasA,Ex,Y,SBrkr,2,Gd,Gd,Attchd,2008.0,RFn,3.0,TA,None,WD,Normal,7.440733707389261,7.440733707389261,12.631340380934517
RL,Pave,None,CulDSac,NAmes,Norm,Norm,1Fam,1Story,5,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,1484.0,GasA,TA,Y,SBrkr,1,TA,Gd,Attchd,1957.0,RFn,1.0,TA,None,WD,Normal,7.3777589082278725,7.3777589082278725,12.24288661865289
RM,Pave,None,Inside,BrkSide,Feedr,RRNn,1Fam,1Story,4,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,BrkTil,TA,520.0,GasA,Fa,N,SBrkr,1,Fa,None,Detchd,1920.0,Unf,1.0,TA,None,WD,Normal,6.253828811575473,6.253828811575473,11.134589024250317
C (all),Pave,Pave,Inside,IDOTRR,Feedr,Norm,1Fam,2Story,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,BrkTil,TA,649.0,GasA,TA,N,SBrkr,1,TA,None,Detchd,1920.0,Unf,1.0,Fa,None,WD,Normal,7.183111701743281,6.47543271670409,10.596634733096073
RL,Pave,None,CulDSac,Sawyer,Norm,Norm,1Fam,1Story,5,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,CBlock,TA,1228.0,GasA,Gd,Y,SBrkr,1,Gd,None,Attchd,1966.0,Unf,1.0,TA,None,WD,Normal,7.113142108707088,7.113142108707088,11.914047823644255
RL,Pave,None,Corner,CollgCr,Norm,Norm,1Fam,1Story,8,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,PConc,Ex,1234.0,GasA,Ex,Y,SBrkr,2,Gd,None,Attchd,2007.0,RFn,2.0,TA,None,WD,Normal,7.1180162044653335,7.1180162044653335,12.100156419938624
RL,Pave,None,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,CBlock,TA,1398.0,GasA,Gd,Y,SBrkr,1,Gd,Gd,Attchd,1959.0,RFn,2.0,TA,None,WD,Normal,7.438383530044307,7.438383530044307,12.016726473799254
RL,Pave,None,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,9,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,PConc,Ex,1561.0,GasA,Ex,Y,SBrkr,2,Ex,Gd,Attchd,2005.0,Fin,2.0,TA,None,WD,Normal,7.353081920515432,7.353081920515432,12.533576212168626
RL,Pave,None,Inside,NridgHt,Norm,Norm,1Fam,2Story,8,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,PConc,Ex,1117.0,GasA,Ex,Y,SBrkr,3,Gd,Gd,BuiltIn,2004.0,Fin,3.0,TA,None,WD,Normal,7.804659297056102,7.0317412587631285,12.641096555879882
RL,Pave,None,Corner,CollgCr,Norm,Norm,1Fam,1Story,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,PConc,Gd,1097.0,GasA,Ex,Y,SBrkr,1,TA,None,Attchd,1995.0,Unf,2.0,TA,None,WD,Normal,7.00033446027523,7.00033446027523,11.884489021402711
RL,Pave,None,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,CBlock,TA,1297.0,GasA,Gd,Y,SBrkr,1,TA,TA,Attchd,1954.0,Fin,2.0,TA,None,WD,Normal,7.167809184316444,7.167809184316444,11.938193200374572
RL,Pave,None,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,CBlock,TA,1057.0,GasA,TA,Y,SBrkr,1,Gd,None,Detchd,1953.0,Unf,1.0,TA,None,WD,Abnorml,6.963189985870238,6.963189985870238,11.59910316121128
